"width","V1"
6,1
8,4
9,3
10,2
14,2
16,1
17,1
18,1
20,1
22,1
25,1
26,1
27,2
29,1
32,4
34,1
35,2
36,1
37,1
38,2
40,1
41,2
44,1
48,1
49,2
58,1
59,4
61,1
62,3
65,1
67,2
71,3
72,1
73,1
74,1
76,1
79,1
83,4
86,1
90,1
92,1
93,1
94,1
96,1
99,1
107,2
111,1
113,2
116,5
118,2
120,1
122,1
125,2
127,1
128,2
130,2
132,1
133,1
134,3
137,2
138,2
140,1
142,1
144,1
147,1
148,1
156,1
162,1
163,1
166,1
167,3
168,1
169,1
174,1
175,1
179,1
182,1
185,1
186,1
188,1
189,2
190,1
194,1
195,1
196,1
197,1
199,2
201,4
202,1
203,1
204,1
207,1
211,1
212,1
214,1
215,1
216,1
222,1
223,1
224,1
227,1
230,1
231,1
232,1
234,1
235,2
236,1
237,1
239,1
242,2
245,1
246,2
247,1
248,1
249,1
251,1
254,1
256,2
257,1
258,1
264,2
265,1
266,2
268,1
269,2
271,1
272,2
273,1
276,1
277,1
278,2
281,3
283,2
284,3
288,1
292,1
293,2
294,1
295,1
297,2
300,1
301,1
302,1
305,2
308,1
310,1
318,1
319,2
320,2
321,1
322,1
326,3
330,1
332,3
337,1
340,1
341,1
342,1
344,1
347,4
349,1
350,1
353,1
355,1
356,2
359,3
362,1
364,1
366,1
368,1
369,1
370,1
372,1
374,2
377,2
379,1
380,1
381,1
382,1
383,1
385,1
386,5
387,1
392,1
394,1
395,3
407,2
409,1
410,1
411,1
418,2
419,1
422,3
423,1
426,1
428,2
429,1
432,1
434,2
437,1
439,1
440,2
442,2
444,1
446,2
452,3
453,1
454,1
456,1
459,1
460,1
463,1
464,1
466,2
467,1
470,1
471,2
472,1
473,1
474,1
475,1
476,2
479,1
481,1
482,1
484,2
486,2
488,1
489,2
491,3
494,1
497,1
498,1
500,1
503,1
507,1
510,1
511,2
512,1
516,1
517,1
518,1
519,2
520,1
521,1
523,2
524,1
525,1
530,2
533,2
536,2
538,2
539,1
541,1
547,1
549,2
552,1
553,1
554,2
556,2
559,1
563,1
564,1
568,1
570,1
571,1
573,1
577,1
580,1
582,1
585,1
587,2
588,1
590,1
591,1
594,4
596,2
600,1
602,1
603,2
604,1
605,2
606,1
611,3
614,1
617,1
618,1
620,2
621,1
622,2
625,1
626,1
630,1
631,1
635,2
639,1
641,2
642,1
643,1
644,2
647,2
648,1
656,1
658,2
659,1
664,1
666,2
667,1
668,3
670,1
671,1
674,2
679,1
682,3
683,2
684,2
685,1
691,2
694,1
698,1
700,3
701,2
702,1
704,1
706,1
709,1
716,1
717,1
719,1
722,1
724,1
725,3
727,1
728,1
729,1
732,1
740,1
743,2
747,1
751,1
757,2
761,1
762,2
763,1
764,1
765,1
766,1
770,1
772,1
773,1
775,1
776,1
779,1
780,1
782,1
783,1
784,1
787,1
791,1
793,1
800,1
803,1
807,1
810,1
811,1
812,1
813,1
815,1
818,1
821,3
822,1
826,1
827,2
829,1
833,2
834,1
836,1
838,1
839,3
840,2
844,3
845,1
846,1
848,1
849,1
851,1
857,2
859,2
861,1
862,3
864,1
866,1
870,1
871,1
874,1
875,2
877,1
878,1
880,2
882,2
885,1
887,2
888,2
889,1
891,2
893,1
898,1
904,1
905,1
907,2
909,1
911,1
912,1
914,3
915,2
918,2
919,3
920,2
922,2
923,1
928,1
933,1
935,2
936,1
941,2
944,2
946,1
947,1
948,1
950,3
951,1
952,1
955,1
961,1
963,1
969,2
973,1
974,1
975,1
976,1
977,1
979,1
983,1
984,1
985,1
986,1
