"width","V1"
6,2
8,1
10,1
11,1
13,1
14,92
15,1
18,1
21,1
23,2
26,1
28,1
29,2
30,1
31,1
35,86
36,1
38,1
41,1
43,1
44,5
45,1
47,1
50,1
52,1
53,1
54,1
58,1
59,1
62,1
66,1
71,23
73,2
77,3
79,1
80,4
82,1
93,1
95,1
100,2
107,8
108,1
110,1
114,2
117,1
120,1
125,3
126,2
131,1
134,3
136,1
142,1
143,1
144,1
154,1
161,3
162,1
171,2
175,1
178,2
179,3
182,1
188,1
191,2
193,2
194,1
197,1
200,1
201,1
202,1
204,1
207,1
208,1
209,1
210,2
211,2
217,1
219,2
221,1
226,1
228,2
230,1
233,1
237,1
238,1
241,2
242,1
244,1
246,1
248,2
251,1
257,1
258,1
260,1
263,2
266,1
268,1
269,1
280,1
283,1
287,1
292,2
299,1
301,2
308,1
311,1
313,1
320,1
322,1
331,1
333,1
334,1
335,1
337,1
339,2
342,1
343,2
345,1
346,1
347,1
348,1
349,1
352,1
353,2
361,2
366,1
369,1
374,1
375,1
378,1
382,1
385,1
386,1
388,2
390,1
392,1
395,1
398,1
400,1
402,1
404,2
405,1
406,1
407,1
409,1
411,1
413,1
419,1
425,1
430,1
434,1
440,2
443,1
444,1
449,1
454,1
455,3
462,1
469,1
471,1
476,1
477,1
479,1
480,1
485,3
487,1
488,1
489,2
493,1
500,1
502,1
503,1
506,1
509,25
514,1
516,1
519,1
524,2
527,3
533,1
548,1
555,2
558,1
559,2
560,1
561,1
562,1
564,1
565,1
576,1
577,1
578,1
579,1
585,1
587,1
590,1
597,1
598,1
601,1
607,1
608,1
611,1
614,1
615,1
624,1
625,1
630,1
634,1
639,1
641,1
644,1
648,2
649,1
651,1
657,1
659,1
660,1
661,1
669,1
673,1
674,1
676,1
677,1
678,1
681,1
683,1
684,2
686,1
690,1
691,2
692,2
695,2
698,1
703,1
706,1
709,1
713,1
715,1
717,1
718,1
721,1
723,1
729,2
731,1
732,2
733,1
737,1
739,1
740,1
741,1
742,1
745,2
747,1
748,2
749,1
754,1
756,1
757,1
760,1
762,1
765,1
767,1
773,1
774,1
775,1
777,1
781,1
789,1
791,1
792,1
794,1
805,1
810,1
816,2
818,2
824,1
830,1
833,1
838,1
848,1
851,1
852,1
872,2
880,1
881,3
888,1
895,1
896,1
900,1
901,1
904,1
905,1
912,1
919,1
920,1
921,2
923,1
928,1
942,2
945,1
947,1
951,3
957,1
959,1
960,2
966,1
967,1
975,1
976,1
977,1
980,1
981,1
990,1
991,1
994,1
995,1
998,1
1000,2
