"width","V1"
6,125
7,139
8,170
9,208
10,177
11,168
12,146
13,124
14,139
15,155
16,146
17,142
18,111
19,135
20,136
21,92
22,97
23,94
24,123
25,99
26,90
27,117
28,85
29,83
30,161
31,91
32,103
33,97
34,87
35,133
36,70
37,67
38,76
39,72
40,108
41,66
42,82
43,97
44,125
45,78
46,94
47,78
48,77
49,105
50,80
51,79
52,75
53,111
54,78
55,78
56,114
57,94
58,106
59,63
60,83
61,80
62,87
63,96
64,67
65,89
66,87
67,79
68,57
69,86
70,81
71,64
72,89
73,125
74,106
75,61
76,61
77,93
78,56
79,69
80,71
81,64
82,63
83,66
84,64
85,68
86,68
87,77
88,57
89,83
90,65
91,72
92,75
93,56
94,71
95,81
96,75
97,76
98,69
99,83
100,52
101,55
102,70
103,48
104,43
105,57
106,62
107,55
108,57
109,53
110,54
111,60
112,50
113,76
114,66
115,61
116,56
117,63
118,57
119,68
120,53
121,59
122,63
123,60
124,61
125,63
126,61
127,63
128,62
129,52
130,55
131,65
132,64
133,74
134,62
135,75
136,62
137,41
138,66
139,63
140,47
141,41
142,83
143,54
144,56
145,83
146,48
147,69
148,60
149,64
150,61
151,56
152,72
153,67
154,70
155,57
156,114
157,67
158,61
159,61
160,55
161,60
162,56
163,59
164,52
165,64
166,74
167,61
168,61
169,64
170,150
171,61
172,66
173,81
174,46
175,48
176,61
177,60
178,62
179,68
180,49
181,51
182,48
183,52
184,67
185,56
186,71
187,55
188,57
189,53
190,45
191,58
192,52
193,53
194,57
195,53
196,51
197,70
198,76
199,69
200,73
201,59
202,47
203,45
204,72
205,58
206,41
207,46
208,50
209,56
210,54
211,58
212,57
213,49
214,59
215,65
216,52
217,67
218,47
219,66
220,60
221,64
222,54
223,57
224,65
225,51
226,62
227,68
228,60
229,51
230,49
231,48
232,50
233,56
234,60
235,53
236,56
237,62
238,49
239,67
240,55
241,58
242,46
243,49
244,44
245,73
246,59
247,51
248,54
249,65
250,51
251,57
252,50
253,68
254,67
255,62
256,55
257,42
258,47
259,48
260,58
261,56
262,53
263,42
264,55
265,47
266,48
267,66
268,65
269,45
270,46
271,58
272,63
273,59
274,58
275,48
276,65
277,59
278,54
279,56
280,60
281,62
282,60
283,57
284,60
285,52
286,60
287,64
288,59
289,61
290,64
291,46
292,53
293,52
294,62
295,58
296,71
297,63
298,53
299,56
300,64
301,59
302,59
303,67
304,61
305,58
306,88
307,79
308,82
309,68
310,68
311,57
312,65
313,63
314,80
315,67
316,78
317,62
318,82
319,71
320,51
321,60
322,65
323,64
324,47
325,57
326,54
327,61
328,47
329,50
330,61
331,64
332,58
333,54
334,47
335,63
336,59
337,46
338,56
339,56
340,56
341,74
342,57
343,61
344,52
345,55
346,65
347,51
348,49
349,46
350,40
351,46
352,62
353,53
354,47
355,69
356,56
357,60
358,49
359,49
360,38
361,52
362,52
363,48
364,46
365,45
366,56
367,67
368,46
369,65
370,64
371,58
372,68
373,52
374,62
375,55
376,44
377,53
378,46
379,58
380,52
381,52
382,54
383,50
384,51
385,56
386,44
387,54
388,50
389,59
390,52
391,53
392,45
393,53
394,58
395,47
396,58
397,57
