"width","V1"
6,6590
7,8030
8,8663
9,9768
10,10058
11,12561
12,11997
13,9947
14,9051
15,8964
16,8612
17,9333
18,9065
19,8355
20,8166
21,8123
22,7810
23,7744
24,7614
25,7643
26,7486
27,7021
28,7050
29,6980
30,6634
31,6754
32,6611
33,6583
34,6475
35,6300
36,6116
37,6140
38,5896
39,6168
40,6175
41,6223
42,6195
43,5945
44,5981
45,5963
46,5926
47,6549
48,5987
49,5854
50,5964
51,5781
52,5647
53,5598
54,5575
55,5449
56,5195
57,5249
58,5348
59,5348
60,5300
61,5306
62,5353
63,5303
64,5291
65,5157
66,5299
67,5142
68,4954
69,5105
70,4947
71,5059
72,5058
73,4970
74,5092
75,4912
76,4993
77,4821
78,4800
79,4881
80,4769
81,4702
82,4739
83,4696
84,4554
85,4619
86,4620
87,4660
88,4522
89,4432
90,4778
91,4465
92,4486
93,4418
94,4482
95,4482
96,4425
97,4358
98,4372
99,4508
100,4371
101,4350
102,4337
103,4332
104,4335
105,4375
106,4221
107,4289
108,4240
109,4428
110,4219
111,4457
112,4387
113,4389
114,4190
115,4218
116,4110
117,4181
118,4180
119,4163
120,4165
121,4032
122,4080
123,4147
124,3938
125,4127
126,4004
127,4155
128,4020
129,3845
130,3976
131,3926
132,3929
133,4124
134,4037
135,4091
136,4112
137,4113
138,4069
139,4265
140,4356
141,4212
142,4250
143,4324
144,4297
145,4159
146,4009
147,4128
148,4165
149,3977
150,3952
151,4058
152,4083
153,3990
154,4164
155,4097
156,4040
157,4125
158,4121
159,4060
160,3934
161,3937
162,3848
163,3910
164,3825
165,3901
166,3776
167,3888
168,3710
169,3811
170,3794
171,3784
172,3729
173,3839
174,3651
175,3711
176,3630
177,3841
178,3589
179,3671
180,3686
181,3666
182,3641
183,3660
184,3683
185,3827
186,3567
187,3485
188,3348
189,3471
190,3379
191,3362
192,3386
193,3469
194,3417
195,3421
196,3481
197,3421
198,3305
199,3369
200,3271
201,3252
202,3252
203,3247
204,3352
205,3206
206,3280
207,3306
208,3323
209,3336
210,3286
211,3397
212,3406
213,6275
214,3340
215,3413
216,3155
217,3202
218,3263
219,3225
220,3254
221,3119
222,3243
223,3152
224,3130
225,3112
226,3168
227,3068
228,3170
229,3096
230,3184
231,3082
232,3009
233,3107
234,3048
235,3014
236,3003
237,3128
238,2981
239,3067
240,3102
241,3031
242,2908
243,3015
244,3049
245,3044
246,2998
247,3189
248,2999
249,3131
250,3134
251,2930
252,3136
253,3002
254,3139
255,2955
256,3036
257,2962
258,2997
259,3031
260,2986
261,2810
262,2954
263,2976
264,2879
265,2956
266,2899
267,2881
268,2785
269,2991
270,3104
271,2954
272,2890
273,2926
274,2897
275,2887
276,2746
277,2795
278,2832
279,2790
280,2810
281,2821
282,2870
283,2757
284,2808
285,2881
286,2866
287,2650
288,2795
289,2778
290,2836
291,2786
292,2693
293,2729
294,2783
295,2893
296,2790
297,2716
298,2770
299,2773
300,2815
301,2816
302,2786
303,2867
304,2732
305,2813
306,2906
307,2861
308,2885
309,2822
310,2716
311,2757
312,2840
313,2782
314,2733
315,2746
316,2839
317,2739
318,2739
319,2757
320,2750
321,2787
322,2668
323,2687
324,2657
325,2634
326,2726
327,2715
328,2747
329,2665
330,2730
331,2646
332,2642
333,2699
334,2655
335,2610
336,2695
337,2562
338,2607
339,2642
340,2623
341,2625
342,2566
343,2657
344,2609
345,2615
346,2549
347,2624
348,2674
349,2656
350,2586
351,2520
352,2583
353,2616
354,2546
355,2627
356,2551
357,2540
358,2503
359,2546
360,2520
361,2575
362,2459
363,2520
364,2657
365,3829
366,2636
367,2585
368,2531
369,2590
370,2486
371,2481
372,2496
373,2442
374,2529
375,2366
376,2432
377,2477
378,2443
379,2439
380,2451
381,2487
382,2492
383,2430
384,2422
385,2396
386,2446
387,2424
388,2376
389,2366
390,2485
391,2347
392,2480
393,2407
394,2382
395,2364
396,2470
397,2350
398,2415
399,2342
400,2331
401,2289
402,2410
403,2330
404,2310
405,2285
406,2259
407,2344
408,2314
409,2301
410,2371
411,2264
412,2189
413,2289
414,2332
415,2101
416,2197
417,2147
418,2258
419,2244
420,2185
421,2269
422,2285
423,2185
424,2256
425,2214
426,2167
427,2140
428,2242
429,2281
430,2225
431,2229
432,2154
433,2150
434,2282
435,2196
436,2186
437,2207
438,2197
439,2200
440,2181
441,2182
442,2305
443,2179
444,2212
445,2170
446,2090
447,2165
448,2275
449,2219
450,2105
451,2227
452,2136
453,2190
454,2183
455,2195
456,2131
457,2156
458,2238
459,2135
460,2127
461,2140
462,2216
463,2233
464,2141
465,2174
466,2139
467,2110
468,2119
469,2092
470,2115
471,2163
472,2065
473,2183
474,2123
475,2146
476,2104
477,2057
478,2075
479,2202
480,2125
481,2021
482,2094
483,2107
484,2068
485,2110
486,2082
487,2049
488,2050
489,2087
490,2036
491,2122
492,2016
493,2008
494,2034
495,2017
496,1982
497,1965
498,2037
499,1995
500,2040
501,2013
502,2054
503,2026
504,2060
505,2034
506,2049
507,2065
508,2078
509,2055
510,1924
511,1943
512,1943
513,2063
514,1997
515,2009
516,1976
517,2020
518,1976
519,1889
520,1976
521,2053
522,1949
523,1933
524,1954
525,1952
526,1953
527,1948
528,1953
529,1888
530,1879
531,1920
532,1866
533,1934
534,1948
535,1945
536,1875
537,1850
538,1865
539,1788
540,1883
541,1894
542,1920
543,1974
544,1846
545,1874
546,1868
547,1943
548,1880
549,1869
550,1854
551,1868
552,1894
553,1897
554,1852
555,1833
556,1846
557,1851
558,1903
559,1869
560,1833
561,1805
562,1789
563,1831
564,1812
565,1851
566,1770
567,1819
568,1811
569,1871
570,1881
571,1806
572,1834
573,1929
574,1795
575,1789
576,1786
577,1748
578,1750
579,1843
580,1840
581,1706
582,1791
583,1714
584,1874
585,1761
586,1736
587,1746
588,1746
589,1720
590,1726
591,1713
592,1664
593,1639
594,1696
595,1687
596,1712
597,1664
598,1690
599,1734
600,1641
601,1667
602,1708
603,1663
604,1764
605,1706
606,1674
607,1711
608,1728
609,1675
610,1702
611,1829
612,1719
613,1758
614,1780
615,1867
616,1904
617,1937
618,1869
619,2058
620,2652
621,1806
622,1763
623,1760
624,1644
625,1698
626,1736
627,1757
628,1783
629,1761
630,1786
631,1738
632,1661
633,1726
634,1705
635,1749
636,1764
637,1695
638,1678
639,1678
640,1630
641,1601
642,1712
643,1665
644,1668
645,1560
646,1664
647,1661
648,1624
649,1651
650,1562
651,1593
652,1579
653,1658
654,1695
655,1653
656,1609
657,1547
658,1651
659,1605
660,1578
661,1565
662,1605
663,1636
664,1597
665,1543
666,1596
667,1590
668,1577
669,1516
670,1595
