"width","V1"
6,299
7,785
8,215
9,204
10,183
11,219
12,173
13,227
14,187
15,193
16,234
17,259
18,225
19,202
20,229
21,237
22,202
23,278
24,266
25,146
26,141
27,189
28,233
29,245
30,193
31,436
32,204
33,162
34,228
35,172
36,169
37,184
38,230
39,216
40,202
41,222
42,213
43,415
44,208
45,317
46,201
47,193
48,194
49,230
50,290
51,247
52,211
53,206
54,178
55,192
56,202
57,206
58,181
59,177
60,217
61,204
62,190
63,172
64,140
65,167
66,171
67,192
68,134
69,160
70,172
71,190
72,171
73,167
74,171
75,167
76,191
77,170
78,180
79,168
80,164
81,181
82,165
83,218
84,150
85,170
86,349
87,170
88,174
89,144
90,161
91,195
92,196
93,169
94,127
95,159
96,168
97,138
98,138
99,155
100,143
101,191
102,166
103,158
104,208
105,796
106,164
107,162
108,165
109,178
110,134
111,146
112,152
113,185
114,163
115,142
116,158
117,160
118,125
119,136
120,136
121,150
122,194
123,156
124,146
125,143
126,176
127,176
128,162
129,160
130,158
131,166
132,172
133,223
134,274
135,239
136,209
137,159
138,146
139,174
140,158
141,186
142,161
143,186
144,166
145,176
146,149
147,166
148,147
149,169
150,162
151,146
152,160
153,147
154,176
155,189
156,200
157,371
158,189
159,178
160,174
161,162
162,151
163,155
164,168
165,144
166,161
167,182
168,169
169,214
170,203
171,259
172,163
173,155
174,143
175,132
176,157
177,139
178,151
179,136
180,145
181,145
182,141
183,146
184,130
185,144
186,130
187,141
188,160
189,143
190,139
191,126
192,143
193,126
194,120
195,133
196,125
197,149
198,148
199,140
200,135
201,157
202,141
203,117
204,152
205,152
206,139
207,127
208,146
209,151
210,131
211,144
212,154
213,132
214,151
215,139
216,121
217,143
218,139
219,143
220,146
221,124
222,153
223,157
224,138
225,145
226,155
227,160
228,141
229,140
230,145
231,143
232,146
233,151
234,140
235,139
236,118
237,141
238,135
239,147
240,138
241,129
242,146
243,130
244,149
245,153
246,160
247,138
248,128
249,144
250,137
251,155
252,137
253,140
254,139
255,130
256,151
257,150
258,135
259,139
260,148
261,145
262,134
263,146
264,143
265,164
266,120
267,154
268,153
269,146
270,159
271,152
272,132
273,139
274,144
275,161
276,163
277,130
278,144
279,127
280,153
281,140
282,138
283,141
284,136
285,130
286,141
287,127
288,138
289,118
290,134
291,132
292,162
293,146
294,117
295,137
296,159
297,126
298,157
299,144
300,178
301,125
302,130
303,121
304,159
305,134
306,161
307,170
308,144
309,140
310,162
311,143
312,149
313,142
314,142
315,126
316,147
317,144
318,151
319,175
320,165
321,106
322,128
323,160
324,143
325,138
326,128
327,144
328,133
329,152
330,139
331,134
332,145
333,160
334,128
335,159
336,152
337,142
338,129
339,153
340,203
341,241
342,261
343,321
344,165
345,126
346,166
347,142
348,133
349,126
350,144
351,154
352,118
353,140
354,124
355,126
356,127
357,125
358,134
359,122
360,152
361,137
362,124
363,134
364,146
365,128
366,131
367,123
368,131
369,162
370,117
371,136
372,120
373,125
374,131
375,111
376,96
377,131
378,120
379,116
380,142
381,130
382,121
383,126
384,112
385,102
386,129
387,137
388,127
389,144
390,113
391,140
392,132
393,135
394,130
395,146
396,137
397,150
398,136
399,122
400,128
401,145
402,127
403,132
404,136
405,111
406,137
407,108
408,121
409,128
410,115
411,119
412,112
413,136
414,144
415,159
416,124
417,127
418,127
419,121
420,129
421,151
422,120
423,133
424,128
425,125
426,128
427,134
428,127
429,131
430,115
431,156
432,114
433,127
434,139
435,122
436,135
437,152
438,175
439,167
440,136
441,129
442,118
443,152
444,147
445,124
446,157
447,143
448,124
449,136
450,120
451,126
452,169
453,140
454,128
455,125
456,120
457,126
458,148
459,138
460,139
461,148
462,155
463,134
464,129
465,116
466,123
467,118
468,142
469,162
470,143
471,131
472,107
473,141
474,132
475,125
476,123
477,149
478,131
479,117
480,136
481,139
482,128
483,107
484,127
485,144
486,137
487,144
488,140
489,170
490,137
491,124
492,149
493,150
494,126
495,113
496,163
497,139
498,145
499,150
500,136
501,156
502,145
503,142
504,148
505,150
506,151
507,132
508,148
509,155
510,150
511,164
512,175
513,186
514,175
515,160
516,134
517,131
518,127
519,106
520,97
521,130
522,104
523,137
524,130
525,144
526,114
527,125
528,108
529,101
530,141
531,123
532,146
533,108
534,128
535,111
536,133
537,120
538,89
539,103
540,118
541,125
542,125
543,119
544,121
545,137
546,109
547,127
548,134
549,162
550,123
551,108
552,109
553,123
554,108
555,115
556,113
557,122
558,143
559,120
560,125
561,126
562,123
563,118
564,129
565,125
566,142
567,105
568,122
569,131
570,125
571,99
572,115
573,124
574,102
575,119
576,119
577,134
578,115
579,127
580,109
581,120
582,132
583,131
584,127
585,127
586,106
587,149
588,120
589,127
590,136
591,151
592,141
593,168
594,174
595,137
596,128
597,129
598,118
599,126
600,128
601,120
602,107
603,129
604,124
605,126
606,131
607,120
608,115
609,126
610,117
611,132
612,116
613,113
614,119
615,118
616,144
617,120
618,129
619,116
