"width","V1"
6,299
7,346
8,434
9,393
10,395
11,478
12,409
13,370
14,372
15,339
16,354
17,361
18,347
19,351
20,322
21,308
22,315
23,328
24,313
25,460
26,303
27,355
28,302
29,330
30,296
31,314
32,298
33,283
34,308
35,382
36,314
37,266
38,484
39,322
40,309
41,278
42,277
43,314
44,240
45,282
46,306
47,273
48,305
49,311
50,360
51,263
52,287
53,275
54,273
55,297
56,268
57,272
58,263
59,285
60,270
61,322
62,286
63,273
64,227
65,260
66,254
67,249
68,219
69,261
70,282
71,279
72,278
73,281
74,340
75,274
76,248
77,258
78,257
79,276
80,295
81,294
82,269
83,470
84,324
85,266
86,259
87,246
88,281
89,294
90,264
91,270
92,250
93,257
94,254
95,288
96,288
97,293
98,355
99,310
100,383
101,300
102,321
103,276
104,287
105,253
106,269
107,258
108,248
109,281
110,229
111,259
112,305
113,301
114,276
115,260
116,287
117,296
118,233
119,307
120,336
121,247
122,263
123,279
124,246
125,221
126,232
127,233
128,259
129,249
130,241
131,232
132,216
133,233
134,257
135,249
136,239
137,236
138,271
139,228
140,265
141,284
142,237
143,250
144,298
145,222
146,240
147,270
148,212
149,233
150,258
151,282
152,292
153,222
154,243
155,254
156,252
157,244
158,264
159,248
160,280
161,231
162,260
163,254
164,261
165,263
166,265
167,396
168,268
169,346
170,532
171,749
172,291
173,248
174,220
175,232
176,248
177,223
178,257
179,246
180,233
181,235
182,245
183,236
184,215
185,196
186,242
187,257
188,279
189,258
190,236
191,226
192,210
193,210
194,225
195,226
196,210
197,229
198,227
199,255
200,212
201,247
202,231
203,254
204,256
205,224
206,229
207,214
208,240
209,236
210,202
211,223
212,218
213,219
214,218
215,230
216,222
217,236
218,214
219,234
220,219
221,235
222,262
223,262
224,265
225,233
226,219
227,248
228,210
229,233
230,258
231,230
232,234
233,244
234,242
235,225
236,207
237,221
238,243
239,207
240,204
241,235
242,206
243,197
244,222
245,208
246,226
247,242
248,247
249,227
250,256
251,311
252,240
253,252
254,268
255,216
256,207
257,227
258,245
259,247
260,215
261,231
262,231
263,240
264,248
265,229
266,235
267,241
268,242
269,235
270,246
271,211
272,239
273,227
274,211
275,213
276,276
277,249
278,235
279,235
280,221
281,248
282,236
283,220
284,249
285,225
286,248
287,238
288,223
289,212
290,210
291,232
292,277
293,304
294,326
295,389
296,261
297,239
298,235
299,249
300,247
301,242
302,234
303,266
304,261
305,274
306,268
307,283
308,269
309,272
310,264
311,286
312,275
313,252
314,281
315,247
316,252
317,234
318,269
319,248
320,256
321,291
322,288
323,269
324,227
325,271
326,237
327,249
328,275
329,254
330,242
331,244
332,236
333,215
334,249
335,266
336,221
337,226
338,270
339,274
340,358
341,457
342,494
343,536
344,280
345,271
346,212
347,242
348,237
349,229
350,225
351,238
352,229
353,212
354,223
355,220
356,224
357,231
358,231
359,248
360,229
361,213
362,214
363,194
364,204
365,216
366,231
367,208
368,232
369,226
370,215
371,219
372,259
373,229
374,194
375,204
376,207
377,210
378,234
379,216
380,211
381,206
382,228
383,231
384,226
385,204
386,234
387,250
388,207
389,229
390,218
391,221
392,215
393,219
394,241
395,221
396,200
397,195
398,209
399,204
400,202
401,203
402,213
403,229
404,219
405,209
406,199
407,222
408,235
409,232
410,210
411,220
412,207
413,227
414,218
415,199
416,215
417,220
418,205
419,234
420,234
421,215
422,224
423,214
424,233
425,240
426,229
427,225
428,193
429,243
430,179
431,216
432,221
433,226
434,202
435,212
436,199
437,202
438,218
439,222
440,194
441,193
442,214
443,191
444,209
445,244
446,208
447,223
448,192
449,213
450,233
451,232
452,220
453,227
454,208
455,210
456,179
457,217
458,218
459,243
460,269
461,212
462,220
463,218
464,239
465,231
466,211
467,228
468,218
469,237
470,235
471,242
472,236
473,232
474,239
475,243
476,258
477,244
478,300
479,256
480,234
481,220
482,252
483,231
484,239
485,283
486,219
487,240
488,212
489,232
490,239
491,205
492,214
493,244
494,208
495,196
496,218
497,202
498,198
499,182
500,191
501,204
502,211
503,203
504,236
505,196
506,200
507,211
508,195
509,225
510,220
511,237
512,238
513,280
514,276
515,276
516,230
517,211
518,222
519,216
520,190
521,196
522,201
523,199
524,228
525,213
526,229
527,203
528,223
529,195
530,210
531,235
532,262
533,220
534,235
535,228
536,297
537,274
538,295
539,321
540,364
541,568
542,940
543,373
544,274
545,262
546,256
547,242
548,229
549,227
550,220
551,209
552,241
553,256
554,242
555,262
556,257
557,328
558,230
559,191
560,219
561,227
562,221
563,249
564,219
565,293
566,361
567,217
568,217
569,215
570,237
571,248
572,203
573,273
574,297
575,210
576,185
577,199
578,213
579,192
580,223
581,214
582,187
583,217
584,224
585,229
586,217
587,224
588,215
589,231
590,295
591,300
592,203
593,202
594,193
595,171
596,202
597,193
598,180
599,222
600,204
601,169
602,192
603,183
604,194
605,190
606,212
607,200
608,224
609,196
610,194
611,180
612,209
613,209
614,212
615,200
616,192
617,188
618,192
619,216
620,241
621,193
622,208
623,215
624,220
625,204
626,192
627,193
628,202
629,225
630,201
631,203
632,199
633,201
634,176
635,192
636,186
637,185
638,198
639,206
640,178
641,205
642,216
643,189
644,208
645,190
646,200
647,192
648,199
649,208
650,200
651,210
652,199
653,207
654,197
655,204
656,249
657,186
658,170
659,202
660,201
661,188
662,192
663,187
664,168
665,205
666,197
667,183
668,201
669,231
670,219
671,196
672,218
673,184
674,199
675,208
676,209
677,231
678,243
679,223
680,226
681,241
682,252
683,230
684,252
685,261
686,256
687,235
688,210
689,200
690,195
691,207
692,188
693,191
694,175
695,195
696,201
697,193
698,186
699,180
700,192
701,184
702,186
703,199
704,167
705,203
706,168
707,181
708,195
709,177
710,150
711,202
712,198
713,178
714,178
715,168
716,195
717,209
718,209
719,209
720,181
721,166
722,220
723,202
724,200
725,171
726,184
727,183
728,172
729,232
730,211
731,206
732,183
733,182
734,234
735,179
736,168
737,199
738,193
739,207
740,205
741,219
742,183
743,182
744,173
745,177
746,195
747,168
748,186
749,207
750,203
751,203
752,195
753,170
754,193
755,175
756,187
757,172
758,190
759,188
760,152
761,190
762,186
763,182
764,180
765,193
766,198
767,181
768,188
769,154
770,179
771,206
772,184
773,165
774,181
775,182
776,166
777,199
778,171
779,186
780,183
781,170
782,167
783,180
784,193
785,200
786,205
787,188
788,176
789,167
790,180
791,181
792,183
793,201
794,158
795,208
796,185
797,165
798,210
799,193
800,181
801,168
802,198
803,177
804,186
805,167
806,173
807,181
808,175
809,179
810,186
811,151
812,186
813,187
814,191
815,199
816,197
817,165
818,177
819,183
820,220
821,164
822,186
823,175
824,197
825,170
826,173
827,179
828,180
829,175
830,176
831,166
832,188
833,193
834,185
835,171
836,176
837,189
838,175
839,180
840,165
841,163
842,176
843,188
844,192
845,178
846,180
847,168
848,156
849,207
850,196
851,178
852,203
853,213
854,210
855,243
856,201
857,204
858,217
859,198
860,193
861,204
862,181
863,194
864,208
865,188
866,188
867,181
868,172
869,184
870,209
871,217
872,172
873,202
874,194
875,207
876,187
877,172
878,188
879,171
880,154
881,163
882,180
883,180
884,199
885,211
886,164
887,185
888,179
889,170
890,171
891,191
892,206
893,182
894,189
895,197
896,184
897,194
898,186
899,184
900,185
901,157
902,190
903,193
904,177
905,205
906,182
907,170
908,186
909,161
910,174
911,173
912,180
913,183
914,198
915,188
916,203
917,152
918,196
919,154
920,203
921,165
922,169
923,188
924,190
925,168
926,194
927,183
928,183
929,187
930,181
931,163
932,175
933,190
934,197
935,168
936,175
937,176
938,170
939,177
940,188
941,180
942,194
943,192
944,171
945,176
946,174
947,177
948,182
949,200
950,167
951,196
952,181
953,177
954,162
955,186
956,184
957,196
958,197
959,162
960,192
961,190
962,168
963,182
964,182
965,192
966,144
967,203
968,172
969,195
970,209
971,183
972,200
973,185
974,160
975,188
976,201
977,164
978,170
979,187
980,179
981,199
982,189
983,207
984,159
985,196
986,188
987,195
988,185
989,174
990,167
991,190
992,175
993,188
994,161
995,170
996,183
997,179
998,171
999,178
1000,178
1001,180
1002,172
1003,171
1004,193
1005,163
1006,177
1007,185
1008,186
1009,201
1010,168
1011,158
1012,173
1013,203
1014,186
1015,180
1016,177
1017,177
1018,211
1019,168
1020,197
1021,165
1022,166
1023,210
1024,175
1025,193
1026,164
1027,195
1028,212
1029,190
1030,177
1031,192
1032,201
1033,189
1034,199
1035,186
1036,162
1037,177
1038,154
1039,146
1040,188
1041,204
1042,175
1043,166
1044,181
1045,177
1046,169
1047,185
1048,170
1049,150
1050,154
1051,178
1052,142
1053,172
1054,201
1055,164
1056,166
1057,186
1058,187
1059,195
1060,162
1061,196
1062,193
1063,173
1064,140
1065,167
1066,177
1067,187
1068,165
1069,169
1070,180
1071,171
1072,160
1073,191
1074,158
1075,149
1076,169
1077,182
1078,163
1079,174
1080,172
1081,164
1082,144
1083,190
1084,187
1085,153
1086,164
1087,190
1088,182
1089,203
1090,177
1091,211
1092,181
1093,182
1094,189
1095,195
1096,207
1097,193
1098,202
1099,210
1100,191
1101,193
1102,186
1103,187
1104,189
1105,193
1106,202
1107,192
1108,215
1109,227
1110,213
1111,227
