"width","V1"
6,142
7,145
8,168
9,155
10,164
11,158
12,167
13,162
14,153
15,174
16,140
17,153
18,118
19,160
20,137
21,119
22,103
23,119
24,116
25,98
26,89
27,121
28,106
29,91
30,100
31,81
32,94
33,132
34,89
35,98
36,174
37,80
38,68
39,95
40,65
41,99
42,75
43,70
44,67
45,82
46,63
47,78
48,83
49,77
50,119
51,95
52,65
53,74
54,82
55,70
56,77
57,59
58,85
59,83
60,71
61,61
62,68
63,71
64,63
65,81
66,76
67,87
68,86
69,70
70,57
71,71
72,65
73,99
74,56
75,62
76,68
77,74
78,48
79,71
80,96
81,70
82,69
83,75
84,57
85,79
86,65
87,73
88,58
89,60
90,66
91,73
92,60
93,73
94,65
95,67
96,70
97,71
98,204
99,65
100,68
101,59
102,64
103,52
104,53
105,50
106,58
107,60
108,53
109,65
110,74
111,64
112,84
113,66
114,65
115,61
116,55
117,57
118,54
119,65
120,59
121,53
122,59
123,52
124,65
125,56
126,73
127,68
128,54
129,75
130,56
131,77
132,51
133,55
134,77
135,67
136,66
137,60
138,54
139,50
140,50
141,67
142,50
143,63
144,58
145,52
146,48
147,72
148,70
149,100
150,58
151,63
152,49
153,76
154,66
155,126
156,68
157,52
158,57
159,49
160,54
161,73
162,69
163,68
164,55
165,54
166,47
167,50
168,44
169,51
170,61
171,68
172,39
173,60
174,70
175,64
176,61
177,69
178,45
179,58
180,37
181,50
182,57
183,53
184,50
185,56
186,47
187,68
188,53
189,65
190,27
191,67
192,59
193,54
194,60
195,67
196,58
197,49
198,45
199,61
200,50
201,58
202,58
203,54
204,58
205,80
206,50
207,56
208,74
209,48
210,44
211,63
212,56
213,44
214,47
215,62
216,59
217,51
218,62
219,55
220,62
221,64
222,54
223,65
224,61
225,68
226,66
227,57
228,56
229,50
230,45
231,50
232,65
233,47
234,62
235,79
236,47
237,58
238,58
239,70
240,50
241,55
242,57
243,62
244,58
245,48
246,62
247,67
248,51
249,52
250,52
251,56
252,52
253,37
254,48
255,64
256,62
257,57
258,53
259,54
260,54
261,53
262,55
263,41
264,55
265,53
266,74
267,54
268,46
269,38
270,39
271,50
272,47
273,59
274,42
275,60
276,48
277,64
278,54
279,52
280,58
281,52
282,55
283,57
284,56
285,38
286,51
287,52
288,48
289,52
290,74
291,70
292,58
293,53
294,49
295,57
296,51
297,61
298,59
299,66
300,57
301,49
302,66
303,78
304,53
305,72
306,68
307,81
308,69
309,77
310,73
311,61
312,69
313,55
314,58
315,66
316,66
317,63
318,72
319,73
320,69
321,65
322,53
323,70
324,58
325,63
326,58
327,52
328,70
329,59
330,64
331,58
332,66
333,52
334,64
335,52
336,44
337,57
338,63
339,56
340,61
341,51
342,64
343,53
344,56
345,54
346,62
347,61
348,62
349,71
350,44
351,53
352,46
353,51
354,51
355,71
356,47
357,49
358,54
359,51
360,59
361,48
362,56
363,62
364,49
365,49
366,52
367,42
368,48
369,56
370,40
371,50
372,44
373,56
374,58
375,42
376,56
377,59
378,51
379,47
380,57
381,46
382,50
383,65
384,52
385,39
386,52
387,53
388,60
389,55
390,51
391,53
392,63
393,47
394,50
395,52
396,50
397,46
398,57
399,48
400,64
401,62
402,51
403,64
404,53
405,49
406,48
407,68
408,59
409,49
410,67
411,54
412,69
413,70
414,51
415,60
416,32
417,39
418,52
419,47
420,48
421,52
422,54
423,46
424,51
425,58
426,54
427,48
428,53
429,62
430,66
431,43
432,52
433,37
434,54
435,53
436,49
437,55
438,47
439,50
440,52
441,52
442,42
443,57
444,55
445,48
446,48
447,52
448,44
449,58
450,61
451,47
452,46
453,61
454,69
455,50
456,56
457,43
458,33
459,50
460,50
461,52
462,46
463,51
464,48
465,42
466,52
467,54
468,46
469,64
470,56
471,75
472,62
473,56
474,49
475,52
476,60
477,60
478,47
479,62
480,46
481,52
482,62
483,64
484,60
485,51
486,54
487,51
488,52
489,56
490,69
491,69
492,96
493,91
494,60
495,58
496,55
497,63
498,51
499,48
500,49
501,60
502,53
503,43
504,49
505,43
506,38
507,46
508,52
509,68
510,67
511,48
512,57
513,54
514,53
515,49
