"width","V1"
50,60
51,59
52,65
53,53
54,46
55,42
56,42
57,79
58,62
59,69
60,63
61,68
62,52
63,73
64,51
65,56
66,52
67,52
68,56
69,63
70,51
71,51
72,63
73,48
74,47
75,75
76,48
77,53
78,43
79,49
80,50
81,38
82,42
83,55
84,48
85,41
86,49
87,47
88,52
89,61
90,33
91,42
92,51
93,57
94,51
95,57
96,48
97,31
98,38
99,74
100,35
101,58
102,46
103,49
104,41
105,42
106,44
107,29
108,55
109,44
110,49
111,44
112,52
113,44
114,47
115,44
116,38
117,42
118,40
119,38
120,39
121,53
122,51
123,829
124,49
125,45
126,52
127,37
128,43
129,45
130,45
131,56
132,47
133,47
134,45
135,36
136,55
137,42
138,52
139,41
140,39
141,38
142,38
143,41
144,56
145,40
146,34
147,62
148,44
149,46
150,44
151,48
152,42
153,54
154,38
155,37
156,53
157,37
158,37
159,35
160,54
161,39
162,61
163,51
164,37
165,69
166,59
167,208
168,41
169,45
170,45
171,46
172,48
173,40
174,34
175,95
176,78
177,56
178,58
179,102
180,63
181,53
182,46
183,48
184,43
185,46
186,41
187,57
188,42
189,40
190,44
191,42
192,44
193,54
194,49
195,47
196,54
197,37
198,56
199,37
200,39
201,38
202,45
203,30
204,51
205,41
206,48
207,32
208,47
209,56
210,53
211,42
212,54
213,45
214,58
215,57
216,42
217,42
218,40
219,32
220,37
221,41
222,31
223,33
224,41
225,48
226,36
227,55
228,44
229,52
230,44
231,42
232,36
233,59
234,28
235,41
236,49
237,210
238,41
239,49
240,46
241,24
242,44
243,37
244,41
245,48
246,47
247,39
248,48
249,37
250,40
251,43
252,51
253,54
254,42
255,44
256,34
257,46
258,43
259,53
260,41
261,44
262,46
263,39
264,41
265,52
266,53
267,41
268,43
269,60
270,43
271,40
272,53
273,38
274,49
275,49
276,49
277,48
278,55
279,47
280,46
281,38
282,46
283,36
284,71
285,24
286,44
287,30
288,43
289,42
290,35
291,44
292,46
293,48
294,35
295,36
296,33
297,42
298,27
299,42
300,47
301,32
302,35
303,49
304,43
305,45
306,36
307,37
308,34
309,32
310,47
311,36
312,43
313,37
314,38
315,42
316,38
317,32
318,47
319,37
320,40
321,45
322,50
323,46
324,36
325,33
326,48
327,34
328,36
329,37
330,40
331,34
332,40
333,42
334,38
335,48
336,36
337,46
338,46
339,41
340,33
341,54
342,45
343,35
344,49
345,43
346,44
347,28
348,37
349,39
350,47
351,26
352,43
353,43
354,59
355,33
356,49
357,47
358,44
359,37
360,43
361,33
362,46
363,26
364,30
365,29
366,38
367,43
368,39
369,42
370,41
371,121
372,54
373,48
374,47
375,44
376,40
377,43
378,47
379,35
380,41
381,52
382,53
383,39
384,42
385,47
386,36
387,37
388,31
389,34
390,35
391,31
392,42
393,42
394,41
395,37
396,44
397,36
398,51
399,44
400,53
401,46
402,36
403,40
404,42
405,32
406,41
407,30
408,55
409,59
410,41
411,55
412,40
413,44
414,45
415,35
416,34
417,55
418,37
419,46
420,40
421,45
422,41
423,46
424,51
425,38
426,39
427,57
428,48
429,44
430,45
431,35
432,45
433,31
434,37
435,37
436,37
437,38
438,40
439,38
440,33
441,44
442,35
443,37
444,38
445,41
446,45
447,38
448,51
449,46
450,55
451,46
452,45
453,38
454,38
455,42
456,37
457,35
458,44
459,33
460,51
461,48
462,39
463,37
464,36
465,36
466,43
467,50
468,47
469,52
470,56
471,35
472,41
473,30
474,40
475,41
476,44
477,36
478,36
479,34
480,44
481,32
482,37
483,43
484,45
485,44
486,58
487,40
488,37
489,31
490,42
491,32
492,43
493,58
494,44
495,51
496,118
497,36
498,47
499,53
500,39
501,46
502,48
503,36
504,48
505,34
506,30
507,36
508,51
509,37
510,40
511,36
512,32
513,39
514,39
515,38
516,35
517,40
518,38
519,38
520,29
521,35
522,31
523,36
524,39
525,51
526,40
527,33
528,37
529,42
530,46
531,48
532,40
533,34
534,41
535,46
536,34
537,33
538,26
539,33
540,35
541,41
542,39
543,41
544,39
545,42
546,33
547,37
548,40
549,31
550,48
551,33
552,31
553,38
554,42
555,24
556,32
557,48
558,26
559,34
560,30
561,43
562,46
563,38
564,43
565,41
566,42
567,31
568,37
569,39
570,44
571,35
572,38
573,47
574,31
575,43
576,29
577,39
578,34
579,39
580,43
581,33
582,37
583,85
584,48
585,43
586,29
587,37
588,40
589,34
590,47
591,35
592,47
593,41
594,36
595,36
596,35
597,27
598,50
599,38
600,43
601,33
602,33
